mu sigma
2.728592319324207 3.9231640623616837
2.707245534429357 4.785990829322617
3.6061857848424563 4.271363912080525
3.6115212005759867 4.293223717954007
3.478574089077658 4.647801488785778
2.372853173477527 4.16348498862864
3.6071350601379493 4.28484169201862
3.0410940293080455 3.898131018709036
2.3242825108603697 4.275604014399168
3.103837319354306 3.9066453557366336
3.6093793991894496 4.3086718758438725
3.5719048062029986 4.200899665128073
2.388044354546259 4.149006594887096
2.753643452015578 3.922432490660397
3.476239909924908 4.0817518659761785
2.960214305234774 3.897893341463885
2.34526252912491 4.2311620794169
3.46703643231941 4.0752245150385065
2.738572588004865 3.9285780770843326
3.178688814983846 3.926137259496844
3.252516664289733 3.9492491612762577
2.6561625707672043 3.9562265344821017
2.5308314260698475 4.0215481604988215
2.843441640791233 4.802242673431149
3.5584833591870915 4.5322141619361656
3.263053105201569 4.756553937703457
2.6079498719826724 3.98169654895984
2.3264719978902444 4.368903735164503
2.3297503006130773 4.317897392229364
2.36205589782681 4.508123610537473
2.8475257950804473 3.9119586764655816
2.729048732176563 4.773908848160179
2.4525451926143322 4.091762641231885
3.3219974789060864 3.9855970424159213
3.596585231055161 4.366002171099362
3.595984153796392 4.3566115039718305
3.1351932942630993 4.7853984950125374
2.6866642548606388 3.9533373736463977
2.8806559479427016 4.797570677032326
3.591570158877093 4.396745267846849
3.2743936551567128 4.7430596550564115
3.55675490771469 4.21564880789833
2.546200903716157 4.025608028629236
3.463992805783746 4.6245677362366795
2.8745753292471172 3.914793215989745
2.348194652493418 4.440581687660717
3.570281441663151 4.252958875798219
3.42645023614409 4.654878301463246
2.3524407888088907 4.273905913489262
3.54618746291449 -4.207982765565644
2.5874600121311597 4.005930738212139
2.7877647511535133 3.9325956384692264
3.536922796678027 4.522638335569447
2.349825641763315 4.411454512985447
3.5663024588690897 4.454354487119655
2.3961372059360273 4.523905632012154
3.1743241002848936 3.945424351113638
3.0037528024636337 4.7820816496864955
2.353965877075173 4.358752825234863
2.7696451443892025 3.9430683894924465
2.7822934275852425 3.9404823810450678
3.538178029680101 4.499274594594411
2.9022359536151288 4.779919474279929
3.3003439849296616 3.9947371143610977
2.390368854534726 4.212670695281745
3.4232980899063086 4.636645406258974
2.5407048168138413 4.663107146890914
2.7304826609890642 3.9556371352135162
3.4275637809373514 4.079069483470127
3.5694887346433517 4.351374197764236
2.357793517002005 4.366821377680684
2.687649888977782 3.970741887304949
2.91688497267521 3.9244947832135417
3.381265020118338 4.046076440501397
2.5319507400761614 4.056207614350514
2.4445966625929163 4.572718920241785
2.9140189996618377 3.925438730239156
3.557100555365594 -4.42969364055854
3.5426633267349805 4.46951556978188
3.1740455422916583 3.952987334333802
2.3634253494983732 4.349873683728973
2.529450258200273 4.646666277308537
3.5499709297759727 4.2687036665292135
2.888273194396232 4.771061960836941
2.5260582085369365 4.064541337040812
2.817988077458473 3.9396676097758525
2.7196359920990445 4.737382720256749
3.17199684595606 4.746058281613448
2.5260148661549073 4.067030314519785
2.9938056317950266 4.770763351188285
2.8177537611962817 4.758171890448245
2.3825978094806772 4.267538691705716
2.515673587094408 4.077667478393138
2.918088845504521 4.767996535398197
3.384528407876529 4.648060202630239
3.547399698090109 4.283879540003607
2.468936874526054 4.123658805278407
3.3732590654244152 -4.654552351099552
3.269521813294896 4.7084336067739745
2.758504428774469 3.9585127741538897
2.4378181095928166 4.541847850019305
3.3104115242997914 4.687631295625585
3.5205642340010126 4.4884755052845
3.5238862003263565 4.230002162504952
2.7107836346513077 4.7250614625286955
3.4260240142578224 4.608538575974054
2.820068621235027 4.751926800136211
2.6740622330790993 3.9895736158523123
3.091040232868584 3.9444735645868922
2.6178913766278202 4.016525914759955
2.554457858529131 4.05595091917253
3.1502813663487794 3.9570055293498503
2.5282986826209553 4.6269471584624355
2.634722651758684 4.690348601963137
3.267082842395112 3.9985063098788225
2.382989777672023 4.382610231827783
3.3443534163050663 4.040142969564629
3.2225022476391216 4.715695040698686
3.199064307728679 4.721731859430273
3.52285428463556 4.4527710695644185
2.387795443565169 4.32996255380449
3.4179649803263032 4.60231073906801
2.597850126586963 4.665073047894978
3.510710669702571 4.477595557314985
3.5001744503105443 4.211641532750812
3.421099207231173 4.107965149932748
3.2385006608411637 4.702736759791302
3.394240986830017 4.6151131929644995
2.923020810354188 4.749476981179046
2.402426606384217 4.282397082448469
2.429330538534519 4.4913297828672905
2.749295019300248 4.7204819144786585
2.6830911892053537 3.9981328619074117
2.999801914292519 4.747830819661851
3.205791405203774 3.9852910922357143
3.3279809206708117 4.042299562505966
2.4808337846253075 4.141203749876216
2.576542992479478 4.64184558430895
2.5671291363908892 4.635598954916834
3.3360825950108017 4.6500670425029025
3.3884196586752826 4.613738082802105
2.4854109283607357 4.563899255435737
3.320851178837029 4.0398698590832245
3.2365306109110517 3.998874903750414
2.9673821615608906 3.9476533189321454
2.5289862811665778 4.096852686700275
2.7853313600083593 4.721747447105433
2.912577297558287 3.9516574436834304
3.4364037976976585 4.55726492349257
3.1165094976547003 3.96730016745087
3.2134718418673693 4.697576990472943
2.417071074883675 4.421737021120385
3.0801899840827582 4.72672809452569
3.510140987046878 4.302383476069443
3.101812138975531 3.968332895086689
2.4280434414578203 4.432594541942865
2.6901892853455074 4.681920919430515
3.1611537682534854 4.706680633189004
3.391308502721533 4.1063252017303
3.404058645350263 4.120287423169776
2.9972661061789756 4.72953788444087
3.0853727180098525 3.9683109330264617
3.3873035439614276 4.589729820544225
3.3549923061859404 4.079634693914184
3.2977411479836145 4.647914141661368
3.4747313920987937 4.47599697267527
2.4217484535161944 4.3421650749178005
3.072535182289447 4.719293529528737
3.479318720326329 4.463896830886545
2.598270939750729 4.064103070193853
2.494097955350116 4.158185024180418
2.8080663288434353 3.9788586294883475
3.2968159205226146 4.644614075718394
2.4385515570192196 4.265783571859328
2.5271923494392845 4.568830405562802
2.688274845350211 4.018543546509463
2.759187865636077 4.694243088234748
3.4668455230779633 4.475459105977653
3.2060410172293246 4.681278516570764
3.4595835208150194 4.208522803089933
3.4722109803100887 4.235585736617552
3.1888130029134145 4.685417213250555
3.410072536668867 4.141454598220428
3.311937851032707 4.628213454958435
2.488398995215956 4.514341144804959
3.414948887870667 4.54195728037941
3.48391001339103 4.279573730754495
2.5994057021077217 4.073453594947557
3.4407173284956056 4.186430985024239
2.6710182692705176 4.0338359544155615
3.4169117327695435 4.156572234491421
3.061992262756035 4.708385723169078
3.133540125822986 3.990415942211825
2.7274772689384656 4.675717396961634
2.4704252250774594 4.475163083616479
3.4852229175438953 4.312641382300018
2.9220559766826226 3.9728261016972084
2.818716612486409 3.9869548662795466
2.4707448492612403 4.469083243572406
2.75985386160524 4.003338944311143
2.558367294120503 4.575221596523955
2.540554294266571 4.131918569087686
3.459265930720649 4.238786529215843
2.7944724689678644 3.9952784576395195
2.922550566376232 3.9766767730391543
2.9216772468650767 3.976892484039745
3.0103551912540465 4.70495185390933
2.8840891101348523 3.9807712461655984
3.202332309195263 4.6655458897156885
2.5584102159857918 4.569880882557581
3.3072723800905557 4.071802671986891
3.1548523215744937 4.003632470578822
2.5698505907352636 4.111174775377049
2.8783734360342805 4.6984438046767885
2.7425905156431503 4.668818976806381
2.8711936849672637 4.6963399586733505
2.4719809058240165 4.248318777357216
2.516563494493657 4.517124020644895
3.4700236076121302 4.317505762607432
2.6734235105348576 4.0470124293008425
3.1116121702570485 3.9975940058024673
2.509591067337913 4.186494963248006
2.8572509619908875 3.9908367748037854
3.4670895201486838 4.360106260078912
3.353158585082504 4.568199358770045
3.232601932598877 -4.041196077380157
3.0873574824919263 3.9959070776332655
3.2951979288298467 4.07683249149915
2.4871799461532462 4.235723763247388
3.254855056865109 4.0540994165950135
3.450720545065819 4.418926846186047
2.552477133234702 4.540909216092818
2.827239649519091 4.678101187584568
2.4689200482802383 4.311692560381202
